,lon,lat,ele,sun,hum,pre,rai,N,cod
714,74.4622222222,-5.485,1200,0,0,6,3,2,23060160
715,74.3888888889,-5.34916666667,1462,0,0,6,3,2,23060170
716,74.2944444444,-5.25333333333,1400,0,0,6,4,2,23060180
717,74.4852777778,-5.19583333333,497,0,0,11,4,2,23060190
718,74.2391666667,-5.05944444444,1798,0,0,6,4,2,23060200
719,74.3819444444,-5.06444444444,1500,0,0,6,4,2,23060260
720,74.4119444444,-4.97305555556,1425,0,0,6,3,2,23060290
721,74.4616666667,-4.84194444444,2200,0,1,11,3,3,23065060
722,74.3072222222,-4.90166666667,2475,1,1,11,2,4,23065100
723,74.3544444444,-5.48416666667,1347,1,1,6,3,4,23065110
724,74.1391666667,-5.14138888889,2000,0,1,11,3,3,23065120
725,74.7686111111,-5.85694444444,180,0,0,3,6,2,23070010
726,74.8483333333,-5.85527777778,449,1,2,4,3,4,23075010
727,75.1636111111,-6.46805555556,1901,0,0,3,3,2,23080390
728,75.3277777778,-6.17083333333,2028,0,0,7,3,2,23080640
729,75.3355555556,-6.07361111111,2137,0,0,3,3,2,23080650
730,74.6783333333,-6.27972222222,125,0,0,3,6,2,23080720
731,75.2591666667,-6.39694444444,1837,0,0,3,3,2,23080740
732,75.1825,-6.05333333333,1235,0,0,4,3,2,23080750
733,75.0169444444,-6.4875,1412,0,0,4,3,2,23080760
734,75.2833333333,-5.95,2620,0,0,4,3,2,23080790
735,74.9,-6.18333333333,975,0,0,3,3,2,23080800
736,74.8280555556,-6.24944444444,858,0,0,3,3,2,23080810
737,75.1175,-6.14666666667,1878,0,0,4,3,2,23080820
738,75.2733333333,-6.13333333333,2107,0,0,3,3,2,23080920
739,75.1433333333,-6.37611111111,1660,1,1,10,3,4,23085030
740,75.4147222222,-6.13166666667,2090,1,1,7,3,4,23085040
741,74.8366666667,-6.48583333333,835,1,1,3,3,4,23085080
742,75.2411111111,-6.21416666667,1956,0,1,3,3,3,23085110
743,75.1005555556,-5.96361111111,1306,0,1,4,3,3,23085140
744,75.2533333333,-6.31166666667,1950,1,1,3,3,4,23085160
745,75.4258333333,-6.16861111111,2073,1,2,7,3,4,23085200
746,75.0027777778,-6.34888888889,1016,1,1,10,3,4,23085210
747,75.0388888889,-6.1575,1113,1,1,4,3,4,23085220
748,74.6816666667,-6.39333333333,639,0,0,3,6,2,23090020
749,74.45,-6.6,150,0,0,3,1,2,23090100
750,74.3952777778,-6.60305555556,130,0,0,3,6,2,23090110
751,74.4122222222,-6.465,150,1,1,3,3,4,23095010
752,74.7855555556,-6.84027777778,994,0,0,3,6,2,23100030
753,75.0108333333,-6.59416666667,1414,0,0,3,6,2,23100040
754,74.41,-6.71583333333,138,0,0,3,0,1,23100050
755,74.3708333333,-6.64277777778,120,0,0,3,6,2,23100070
756,74.3166666667,-6.65,100,0,0,3,0,1,23100080
757,74.7963888889,-6.77388888889,995,1,1,3,3,4,23105030
758,74.5886111111,-5.9375,150,0,0,6,6,2,23110030
759,74.5666666667,-5.87972222222,150,0,0,6,6,2,23110040
760,74.3330555556,-6.19361111111,100,0,0,3,3,2,23110060
761,74.5666666667,-5.97833333333,350,0,2,6,3,3,23115010
762,73.8997222222,-6.4125,305,0,0,3,3,2,23120010
763,74.1008333333,-5.53555555556,850,0,0,6,3,2,23120050
764,73.9166666667,-5.6,2800,0,0,11,4,2,23120120
765,74.0825,-6.53388888889,159,0,0,3,6,2,23120200
766,74.0458333333,-5.47444444444,1090,0,0,6,3,2,23120210
767,73.9133333333,-5.87083333333,2590,0,0,7,3,2,23120220
768,74.1544444444,-5.37138888889,1038,0,0,6,3,2,23120240
769,74.0686111111,-5.64944444444,681,0,0,6,3,2,23120250
770,73.9205555556,-6.61611111111,180,1,1,6,3,4,23125040
771,74.0613888889,-6.64944444444,168,0,1,3,3,3,23125050
772,73.9133333333,-5.75833333333,1690,2,1,6,3,4,23125060
773,74.0666666667,-5.3,2150,5,1,11,3,4,23125070
774,74.1844444444,-5.66166666667,1070,0,1,4,3,3,23125080
775,73.9808333333,-5.64944444444,1225,0,0,6,3,2,23125090
776,73.9430555556,-5.51472222222,2200,2,1,6,3,4,23125100
777,73.9522222222,-6.30861111111,300,1,1,6,3,4,23125120
778,73.8088888889,-6.22138888889,1085,0,1,3,3,3,23125130
779,74.1822222222,-5.52083333333,1250,0,1,3,3,3,23125140
780,74.0313888889,-6.87777777778,100,0,0,3,6,2,23130010
781,73.935,-6.77361111111,95,0,0,3,6,2,23140040
